category,actual_2021,actual_2022,actual_2023,actual_2024
Car Insurance,356.67,198.34,151.76,280.23
Car Servicing,707.67,259.25,87.97,755.13
Car Tax,155,0,0,0
Childcare,7043.46,2552.78,1210.84,2977.97
Coffee,1022.5,694.51,1367.74,601.12
Restaurants,5066.3,6473.46,5297.54,6282.55
Takeaway,1040.81,796,928.79,1356.74
Work Food,0,70.74,8.5,0
Food Shopping,7780.51,8566.47,10755.8,11662.43
Holiday Hotels,9593.31,9830.69,12090.9,8634.8
Holiday Travel,242,3122.99,6643.44,5872.83
House Upkeep,3877.99,611.65,8998.8,1839.67
Council Tax,2404.8,2486.42,2649.94,3011.36
Mortgage,4732.2,0,0,0
Cleaner,682.5,990,1070.0,1400.0
Donations,50,123.01,70.28,6.0
Gym and Sports,80,329.84,566.75,1534.1
Mobile Phone,255.94,295.57,321.08,311.23
Sky Broadband,1914.45,1797.73,1530.94,605.61
Subscriptions,841.84,1026.43,1058.51,2330.37
Activities,3179.87,2874.8,5285.32,3437.95
Clothing,1098.88,3621.15,2886.01,1552.47
Consumerables,3927.03,1615.73,4614.61,2306.62
Gifts,2364.84,1418.9,2744.02,1252.51
Health Beauty,437.56,1183.02,1535.52,1217.16
Household Items,2828.71,2640.23,1519.96,3849.34
Social Travel,2432.02,2347.21,2135.68,2162.57
Work Commute,266.9,784.55,683.68,2239.64
House Insurance,190.27,223.85,291.21,380.83
Energy,976.56,1693.49,1918.38,2459.1
Water,517,532,587.0,798.0
AH Salary,54884.95,40948.74,40882.45,51523.44
Bank Interest,424.4,713.89,-240.82,339.75
CH Salary,60368.39,65932.19,74320.78,41263.62
Gifts In,0,8027.5,3250.0,4500.0
Pension / Shares,51600.0,55200.0,70500.0,43000.0
